country,iso3,year,indicator,value
Mexico,MEX,2020,current_account,2.39710320563074
Mexico,MEX,2021,current_account,-0.340708629738092
Mexico,MEX,2022,current_account,-1.27426718190487
Mexico,MEX,2023,current_account,-0.699077082003633
Mexico,MEX,2024,current_account,-0.912091864173097
Mexico,MEX,2025,current_account,-0.447421048798837
Mexico,MEX,2019,external_debt_gni,48.7169187460769
Mexico,MEX,2020,external_debt_gni,56.8349663684666
Mexico,MEX,2021,external_debt_gni,46.8965782589805
Mexico,MEX,2022,external_debt_gni,40.8971913213688
Mexico,MEX,2023,external_debt_gni,34.0722892134803
Mexico,MEX,2024,external_debt_gni,32.8920519832698
Mexico,MEX,2019,gdp_growth,-0.392690513290532
Mexico,MEX,2020,gdp_growth,-8.35403459379062
Mexico,MEX,2021,gdp_growth,6.04848347173572
Mexico,MEX,2022,gdp_growth,3.70975708309098
Mexico,MEX,2023,gdp_growth,3.1067964131456
Mexico,MEX,2024,gdp_growth,1.35057631384696
Mexico,MEX,2025,gdp_growth,0.561683456144578
Mexico,MEX,2019,inflation,3.63596142127046
Mexico,MEX,2020,inflation,3.39683415570006
Mexico,MEX,2021,inflation,5.68920847683753
Mexico,MEX,2022,inflation,7.8962761916855
Mexico,MEX,2023,inflation,5.52796087314389
Mexico,MEX,2024,inflation,4.72225588452932
Mexico,MEX,2025,inflation,3.80668650726485
Mexico,MEX,2019,reserves_months,3.91541539352767
Mexico,MEX,2020,reserves_months,5.07902828726659
Mexico,MEX,2021,reserves_months,4.12398114778684
Mexico,MEX,2022,reserves_months,3.32190681281323
Mexico,MEX,2023,reserves_months,3.44254741981939
Mexico,MEX,2024,reserves_months,3.54735732153754
Mexico,MEX,2025,reserves_months,3.74625370139359
Morocco,MAR,2019,current_account,-3.4182057355437
Morocco,MAR,2020,current_account,-1.1275993199651
Morocco,MAR,2021,current_account,-2.35786783699057
Morocco,MAR,2022,current_account,-3.6574911910038
Morocco,MAR,2023,current_account,-1.04767760599469
Morocco,MAR,2024,current_account,-1.23072108998601
Morocco,MAR,2025,current_account,-2.49808221535456
Morocco,MAR,2019,external_debt_gni,43.5343377341004
Morocco,MAR,2020,external_debt_gni,54.9196081945346
Morocco,MAR,2021,external_debt_gni,46.8983264543197
Morocco,MAR,2022,external_debt_gni,50.35106931617
Morocco,MAR,2023,external_debt_gni,48.9147951964991
Morocco,MAR,2024,external_debt_gni,44.7188367863758
Morocco,MAR,2019,gdp_growth,2.89097476137077
Morocco,MAR,2020,gdp_growth,-7.17820744246774
Morocco,MAR,2021,gdp_growth,8.15473889823681
Morocco,MAR,2022,gdp_growth,1.81269242194809
Morocco,MAR,2023,gdp_growth,3.65564411017931
Morocco,MAR,2024,gdp_growth,3.79336515978963
Morocco,MAR,2025,gdp_growth,4.59524349182247
Morocco,MAR,2019,inflation,0.303386036590383
Morocco,MAR,2020,inflation,0.705968661338261
Morocco,MAR,2021,inflation,1.40195883962006
Morocco,MAR,2022,inflation,6.65704202759067
Morocco,MAR,2023,inflation,6.09114152504141
Morocco,MAR,2024,inflation,0.985256592004507
Morocco,MAR,2025,inflation,0.701902154839545
Morocco,MAR,2019,reserves_months,5.58422656502833
Morocco,MAR,2020,reserves_months,8.9354144570375
Morocco,MAR,2021,reserves_months,6.7712924140998
Morocco,MAR,2022,reserves_months,5.06212133329447
Morocco,MAR,2023,reserves_months,5.63476498950226
Morocco,MAR,2024,reserves_months,5.26170979299897
Morocco,MAR,2025,reserves_months,5.92686959641173
Philippines,PHL,2019,current_account,-0.808557862529767
Philippines,PHL,2020,current_account,3.20065009232565
Philippines,PHL,2021,current_account,-1.50797765976295
Philippines,PHL,2022,current_account,-4.51605763317134
Philippines,PHL,2023,current_account,-2.834121138482
Philippines,PHL,2024,current_account,-4.0212789718349
Philippines,PHL,2025,current_account,-3.34449841700068
